mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,brand,manufacturer,name
23,4,115,95,2694,15,75,2,2,"	audi","	audi 100ls"
17.5,6,258,95,3193,17.8,76,1,1,"	amc","	amc pacer d/l"
20.5,6,200,95,3155,18.2,78,1,8,"	chevrolet","	chevrolet malibu"
27.5,4,134,95,2560,14.2,78,3,31,"	toyota","	toyota corona"
21.1,4,134,95,2515,14.8,78,3,31,"	toyota","	toyota celica gt liftback"
22,4,108,94,2379,16.5,73,3,11,"	datsun","	datsun 610"
26,4,108,93,2391,15.5,74,3,38,subaru,"	subaru"
28,4,97,92,2288,17,72,3,11,"	datsun","	datsun 510 (sw)"
25,4,140,92,2572,14.9,76,1,6,"	capri","	capri ii"
37,4,119,92,2434,15,80,3,11,"	datsun","	datsun 510 hatchback"
25.8,4,156,92,2620,14.4,81,1,12,"	dodge","	dodge aries wagon (sw)"
24,4,140,92,2865,16.4,82,1,14,"	ford","	ford fairmont futura"
26,4,156,92,2585,14.5,82,1,10,"	chrysler","	chrysler lebaron medallion"
20,4,114,91,2582,14,73,2,2,"	audi","	audi 100ls"
24,4,107,90,2430,14.5,70,2,2,"	audi","	audi 100 ls"
21,6,199,90,2648,15,70,1,1,"	amc","	amc gremlin"
28,4,140,90,2264,15.5,71,1,8,"	chevrolet","	chevrolet vega 2300"
28,4,116,90,2123,14,71,2,24,"	opel","	opel 1900"
20,4,140,90,2408,19.5,72,1,8,"	chevrolet","	chevrolet vega"
18,3,70,90,2124,13.5,73,3,17,"	maxda","	maxda rx3"
26,4,98,90,2265,15.5,73,2,13,"	fiat","	fiat 124 sport coupe"
19,6,232,90,3211,17,75,1,1,"	amc","	amc pacer"
22.5,6,232,90,3085,17.6,76,1,1,"	amc","	amc hornet"
19.4,6,232,90,3210,17.2,78,1,1,"	amc","	amc concord"
20.2,6,232,90,3265,18.2,79,1,1,"	amc","	amc concord dl 6"
23.9,8,260,90,3420,22.2,79,1,23,"	oldsmobile","	oldsmobile cutlass salon brougham"
28.4,4,151,90,2670,16,79,1,4,"	buick","	buick skylark limited"
33.5,4,151,90,2556,13.2,79,1,27,"	pontiac","	pontiac phoenix"
28,4,151,90,2678,16.5,80,1,8,"	chevrolet","	chevrolet citation"
24.3,4,151,90,3003,20.1,80,1,1,"	amc","	amc concord"
19.1,6,225,90,3381,18.7,80,1,12,"	dodge","	dodge aspen"
29.8,4,134,90,2711,15.5,80,3,31,"	toyota","	toyota corona liftback"
27,4,151,90,2735,18,82,1,27,"	pontiac","	pontiac phoenix"
27,4,151,90,2950,17.3,82,1,8,"	chevrolet","	chevrolet camaro"
25.5,4,140,89,2755,15.8,77,1,14,"	ford","	ford mustang ii 2+2"
27,4,97,88,2130,14.5,70,3,11,"	datsun","	datsun pl510"
27,4,97,88,2130,14.5,71,3,11,"	datsun","	datsun pl510"
19,6,250,88,3302,15.5,71,1,14,"	ford","	ford torino 500"
18,6,250,88,3139,14.5,71,1,14,"	ford","	ford mustang"
27,4,97,88,2100,16.5,72,3,31,"	toyota","	toyota corolla 1600 (sw)"
18,6,250,88,3021,16.5,73,1,14,"	ford","	ford maverick"
20,4,97,88,2279,19,73,3,31,"	toyota","	toyota carina"
23,4,120,88,2957,17,75,2,25,"	peugeot","	peugeot 504"
19,4,120,88,3270,21.9,76,2,25,"	peugeot","	peugeot 504"
24.5,4,151,88,2740,16,77,1,27,"	pontiac","	pontiac sunbird coupe"
25.1,4,140,88,2720,15.4,78,1,14,"	ford","	ford fairmont (man)"
22.3,4,140,88,2890,17.3,79,1,14,"	ford","	ford fairmont 4"
26.4,4,140,88,2870,18.1,80,1,14,"	ford","	ford fairmont"
35,4,122,88,2500,15.1,80,2,33,"	triumph","	triumph tr7 coupe"
20.2,6,200,88,3060,17.1,81,1,14,"	ford","	ford granada gl"
28,4,112,88,2605,19.6,82,1,8,"	chevrolet","	chevrolet cavalier"
27,4,112,88,2640,18.6,82,1,8,"	chevrolet","	chevrolet cavalier wagon"
34,4,112,88,2395,18,82,1,8,"	chevrolet","	chevrolet cavalier 2-door"
36,4,120,88,2160,14.5,82,3,22,"	nissan","	nissan stanza xe"
25,4,110,87,2672,17.5,70,2,25,"	peugeot","	peugeot 504"
21,4,120,87,2979,19.5,72,2,25,"	peugeot","	peugeot 504 (sw)"
23,4,122,86,2220,14,71,1,21,"	mercury","	mercury capri 2000"
21,4,122,86,2226,16.5,72,1,14,"	ford","	ford pinto runabout"
22,4,122,86,2395,16,72,1,14,"	ford","	ford pinto (sw)"
28,4,107,86,2464,15.5,76,2,13,"	fiat","	fiat 131"
27,4,140,86,2790,15.6,82,1,14,"	ford","	ford mustang gl"
21,6,200,85,2587,16,70,1,14,"	ford","	ford maverick"
19,4,122,85,2310,18.5,73,1,14,"	ford","	ford pinto"
20.2,6,200,85,2965,15.8,78,1,14,"	ford","	ford fairmont (auto)"
20.8,6,200,85,3070,16.7,78,1,21,"	mercury","	mercury zephyr"
23.8,4,151,85,2855,17.6,78,1,23,"	oldsmobile","	oldsmobile starfire sx"
19.8,6,200,85,2990,18.2,79,1,21,"	mercury","	mercury zephyr 6"
17.6,6,225,85,3465,16.6,81,1,10,"	chrysler","	chrysler lebaron salon"
31,4,112,85,2575,16.2,82,1,27,"	pontiac","	pontiac j2000 se hatchback"
38,6,262,85,3015,17,82,1,23,"	oldsmobile","	oldsmobile cutlass ciera (diesel)"
27.2,4,135,84,2490,15.7,81,1,26,"	plymouth","	plymouth reliant"
26.6,4,151,84,2635,16.4,81,1,4,"	buick","	buick skylark"
30,4,135,84,2385,12.9,81,1,26,"	plymouth","	plymouth reliant"
29,4,135,84,2525,16,82,1,12,"	dodge","	dodge aries se"
36,4,135,84,2370,13,82,1,12,"	dodge","	dodge charger 2.2"
32,4,135,84,2295,11.6,82,1,12,"	dodge","	dodge rampage"
29,4,98,83,2219,16.5,74,2,2,"	audi","	audi fox"
23,4,140,83,2639,17,75,1,14,"	ford","	ford pinto"
27,4,101,83,2202,15.3,76,2,28,"	renault","	renault 12tl"
33.5,4,98,83,2075,15.9,77,1,12,"	dodge","	dodge colt m/m"
31,4,119,82,2720,19.4,82,1,9,"	chevy","	chevy s-10"
25,4,116,81,2220,16.9,76,2,24,"	opel","	opel 1900"
24,6,200,81,3012,17.6,76,1,14,"	ford","	ford maverick"
25,4,97.5,80,2126,17,72,1,12,"	dodge","	dodge colt hardtop"
28,4,98,80,2164,15,72,1,12,"	dodge","	dodge colt (sw)"
26,4,122,80,2451,16.5,74,1,14,"	ford","	ford pinto"
30,4,111,80,2155,14.8,77,1,4,"	buick","	buick opel isuzu deluxe"
35.7,4,98,80,1915,14.4,79,1,12,"	dodge","	dodge colt hatchback custom"
27.4,4,121,80,2670,15,79,1,1,"	amc","	amc spirit dl"
28.1,4,141,80,3230,20.4,81,2,25,"	peugeot","	peugeot 505s turbo diesel"
26,4,98,79,2255,17.7,76,1,12,"	dodge","	dodge colt"
28,4,120,79,2625,18.6,82,1,14,"	ford","	ford ranger"
26,4,97,78,2300,14.5,74,2,24,"	opel","	opel manta"
23,4,140,78,2592,18.5,75,1,27,"	pontiac","	pontiac astro"
18,6,250,78,3574,21,76,1,14,"	ford","	ford granada ghia"
29,4,97,78,1940,14.5,77,2,35,"	volkswagen","	volkswagen rabbit custom"
30.5,4,97,78,2190,14.1,77,2,35,"	volkswagen","	volkswagen dasher"
34.3,4,97,78,2188,15.8,80,2,2,"	audi","	audi 4000"
25.4,5,183,77,3530,20.1,79,2,19,"	mercedes","	mercedes benz 300d"
30,4,88,76,2065,14.5,71,2,13,"	fiat","	fiat 124b"
22,4,121,76,2511,18,72,2,35,"	volkswagen","	volkswagen 411 (sw)"
41.5,4,98,76,2144,14.7,80,2,37,"	vw","	vw rabbit"
30.7,6,145,76,3160,19.6,81,2,36,"	volvo","	volvo diesel"
24,4,116,75,2158,15.5,73,2,24,"	opel","	opel manta"
25,4,140,75,2542,17,74,1,8,"	chevrolet","	chevrolet vega"
28,4,90,75,2125,14.5,74,1,12,"	dodge","	dodge colt"
24,4,90,75,2108,15.5,74,2,13,"	fiat","	fiat 128"
26,4,116,75,2246,14,74,2,13,"	fiat","	fiat 124 tc"
29,4,97,75,2171,16,75,3,31,"	toyota","	toyota corolla"
28,4,97,75,2155,16.4,76,3,31,"	toyota","	toyota corolla"
26,4,97,75,2265,18.2,77,3,31,"	toyota","	toyota corolla liftback"
30.9,4,105,75,2230,14.5,78,1,12,"	dodge","	dodge omni"
31.3,4,120,75,2542,17.5,80,3,18,"	mazda","	mazda 626"
32.2,4,108,75,2265,15.2,80,3,31,"	toyota","	toyota corolla"
33.7,4,107,75,2210,14.4,81,3,16,"	honda","	honda prelude"
32.4,4,108,75,2350,16.8,81,3,31,"	toyota","	toyota corolla"
36,4,107,75,2205,14.5,82,3,16,"	honda","	honda accord"
33,4,105,74,2190,14.2,81,2,35,"	volkswagen","	volkswagen jetta"
31.6,4,120,74,2635,18.3,81,3,18,"	mazda","	mazda 626"
36,4,105,74,1980,15.3,82,2,35,"	volkswagen","	volkswagen rabbit l"
22,4,140,72,2408,19,71,1,8,"	chevrolet","	chevrolet vega (sw)"
21,4,140,72,2401,19.5,73,1,8,"	chevrolet","	chevrolet vega"
15,6,250,72,3432,21,75,1,21,"	mercury","	mercury monarch"
15,6,250,72,3158,19.5,75,1,14,"	ford","	ford maverick"
26.5,4,140,72,2565,13.6,76,1,14,"	ford","	ford pinto"
32.4,4,107,72,2290,17,80,3,16,"	honda","	honda accord"
25,4,90,71,2223,16.5,75,2,35,"	volkswagen","	volkswagen dasher"
29.5,4,97,71,1825,12.2,76,2,35,"	volkswagen","	volkswagen rabbit"
31.5,4,89,71,1990,14.9,78,2,35,"	volkswagen","	volkswagen scirocco"
31.9,4,89,71,1925,14,79,2,37,"	vw","	vw rabbit custom"
27.2,4,141,71,3190,24.8,79,2,25,"	peugeot","	peugeot 504"
30,4,79,70,2074,19.5,71,2,25,"	peugeot","	peugeot 304"
26,4,91,70,1955,20.5,71,1,26,"	plymouth","	plymouth cricket"
29,4,90,70,1937,14,75,2,35,"	volkswagen","	volkswagen rabbit"
29,4,90,70,1937,14.2,76,2,37,"	vw","	vw rabbit"
32,4,85,70,1990,17,76,3,11,"	datsun","	datsun b-210"
33.5,4,85,70,1945,16.8,77,3,11,"	datsun","	datsun f-10 hatchback"
39.4,4,85,70,2070,18.6,78,3,11,"	datsun","	datsun b210 gx"
34.2,4,105,70,2200,13.2,79,1,26,"	plymouth","	plymouth horizon"
34.5,4,105,70,2150,14.9,79,1,26,"	plymouth","	plymouth horizon tc3"
32.1,4,98,70,2120,15.5,80,1,8,"	chevrolet","	chevrolet chevette"
36,4,98,70,2125,17.3,82,1,21,"	mercury","	mercury lynx l"
34,4,108,70,2245,16.9,82,3,31,"	toyota","	toyota corolla"
35,4,72,69,1613,18,71,3,11,"	datsun","	datsun 1200"
26,4,96,69,2189,18,72,2,28,"	renault","	renault 12 (sw)"
37.3,4,91,69,2130,14.7,79,2,13,"	fiat","	fiat strada custom"
31.5,4,98,68,2045,18.5,77,3,16,"	honda","	honda accord cvcc"
30,4,98,68,2155,16.5,78,1,8,"	chevrolet","	chevrolet chevette"
29.5,4,98,68,2135,16.6,78,3,16,"	honda","	honda accord lx"
34.1,4,91,68,1985,16,81,3,18,"	mazda","	mazda glc 4"
37,4,91,68,2025,18.2,82,3,18,"	mazda","	mazda glc custom l"
31,4,91,68,1970,17.6,82,3,18,"	mazda","	mazda glc custom"
31,4,79,67,1950,19,74,3,11,"	datsun","	datsun b210"
26,4,79,67,1963,15.5,74,2,35,"	volkswagen","	volkswagen dasher"
31,4,79,67,2000,16,74,2,13,"	fiat","	fiat x1.9"
30,4,97,67,1985,16.4,77,3,30,"	subaru","	subaru dl"
36.4,5,121,67,2950,19.9,80,2,2,"	audi","	audi 5000s (diesel)"
30,4,146,67,3250,21.8,80,2,20,"	mercedes-benz","	mercedes-benz 240d"
44.6,4,91,67,1850,13.8,80,3,16,"	honda","	honda civic 1500 gl"
33.8,4,97,67,2145,18,80,3,30,"	subaru","	subaru dl"
32.3,4,97,67,2065,17.8,81,3,38,subaru,"	subaru"
38,4,91,67,1965,15,82,3,16,"	honda","	honda civic"
32,4,91,67,1965,15.7,82,3,16,"	honda","	honda civic (auto)"
38,4,91,67,1995,16.2,82,3,11,"	datsun","	datsun 310 gx"
36.1,4,98,66,1800,14.4,78,1,14,"	ford","	ford fiesta"
31,4,71,65,1773,19,71,3,31,"	toyota","	toyota corolla 1200"
32,4,71,65,1836,21,74,3,31,"	toyota","	toyota corolla 1200"
34.1,4,86,65,1975,15.2,79,3,17,"	maxda","	maxda glc deluxe"
31.8,4,85,65,2020,19.2,79,3,11,"	datsun","	datsun 210"
37.2,4,86,65,2019,16.4,80,3,11,"	datsun","	datsun 310"
46.6,4,86,65,2110,17.9,80,3,18,"	mazda","	mazda glc"
40.8,4,85,65,2110,19.2,80,3,11,"	datsun","	datsun 210"
37,4,85,65,1975,19.4,81,3,11,"	datsun","	datsun 210 mpg"
34.4,4,98,65,2045,16.2,81,1,14,"	ford","	ford escort 4w"
29.9,4,98,65,2380,20.7,81,1,14,"	ford","	ford escort 2h"
39,4,86,64,1875,16.4,81,1,26,"	plymouth","	plymouth champ"
30.5,4,98,63,2051,17,77,1,8,"	chevrolet","	chevrolet chevette"
34.7,4,105,63,2215,14.9,81,1,26,"	plymouth","	plymouth horizon 4"
38,4,105,63,2125,14.7,82,1,26,"	plymouth","	plymouth horizon miser"
29.8,4,89,62,1845,15.3,80,2,34,"	vokswagen","	vokswagen rabbit"
37.7,4,89,62,2050,17.3,81,3,31,"	toyota","	toyota tercel"
32,4,83,61,2003,19,74,3,11,"	datsun","	datsun 710"
27,4,97,60,1834,19,71,2,35,"	volkswagen","	volkswagen model 111"
24.5,4,98,60,2164,22.1,76,1,8,"	chevrolet","	chevrolet woody"
36.1,4,91,60,1800,16.4,78,3,16,"	honda","	honda civic cvcc"
38.1,4,89,60,1968,18.8,80,3,31,"	toyota","	toyota corolla tercel"
35.1,4,81,60,1760,16.1,81,3,16,"	honda","	honda civic 1300"
36,4,79,58,1825,18.6,77,2,28,"	renault","	renault 5 gtl"
39.1,4,79,58,1755,16.9,81,3,31,"	toyota","	toyota starlet"
23,4,97,54,2254,23.5,72,2,35,"	volkswagen","	volkswagen type 3"
33,4,91,53,1795,17.5,75,3,16,"	honda","	honda civic cvcc"
33,4,91,53,1795,17.4,76,3,16,"	honda","	honda civic"
31,4,76,52,1649,16.5,74,3,31,"	toyota","	toyota corona"
29,4,85,52,2035,22.2,76,1,8,"	chevrolet","	chevrolet chevette"
32.8,4,78,52,1985,19.4,78,3,18,"	mazda","	mazda glc deluxe"
44,4,97,52,2130,24.6,82,2,37,"	vw","	vw pickup"
29,4,68,49,1867,19.5,73,2,13,"	fiat","	fiat 128"
43.1,4,90,48,1985,21.5,78,2,35,"	volkswagen","	volkswagen rabbit custom diesel"
44.3,4,90,48,2085,21.7,80,2,37,"	vw","	vw rabbit c (diesel)"
43.4,4,90,48,2335,23.7,80,2,37,"	vw","	vw dasher (diesel)"
26,4,97,46,1835,20.5,70,2,35,"	volkswagen","	volkswagen 1131 deluxe sedan"
26,4,97,46,1950,21,73,2,35,"	volkswagen","	volkswagen super beetle"